Year,Value,Series
2010,0.19,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2011,0.19,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2012,0.19,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2013,0.16,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2014,0.15,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2015,0.09,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2016,0.07,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2017,0.08,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2018,0.07,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2019,0.07,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2020,0.08,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars)
2010,0.04,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2011,0.02,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2012,0.03,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2013,0.06,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2014,0.07,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2015,0.06,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2016,0.06,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2017,0.06,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2018,0.05,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2019,0.03,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2020,0.03,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars)
2010,0.03,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2011,0.02,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2012,0.03,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2013,0.05,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2014,0.06,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2015,0.05,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2016,0.05,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2017,0.05,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2018,0.04,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2019,0.03,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2020,0.03,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors
2010,2.59,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2011,2.57,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2012,2.72,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2013,2.37,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2014,2.36,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2015,1.66,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2016,1.35,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2017,1.52,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2018,1.55,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2019,1.66,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
2020,1.61,Total carbon dioxide emissions from fuel combustion (millions of tonnes)
