Year,Value,Units,Series
2010,"24,996",Dry weight in tonnes,1. Hazardous waste generation
2011,"23,942",Dry weight in tonnes,1. Hazardous waste generation
2012,"38,370",Dry weight in tonnes,1. Hazardous waste generation
2013,"24,528",Dry weight in tonnes,1. Hazardous waste generation
2014,"36,871",Dry weight in tonnes,1. Hazardous waste generation
2015,"50,150",Dry weight in tonnes,1. Hazardous waste generation
2016,"134,559",Dry weight in tonnes,1. Hazardous waste generation
2017,"49,493",Dry weight in tonnes,1. Hazardous waste generation
2018,"33,024",Dry weight in tonnes,1. Hazardous waste generation
2019,"42,225",Dry weight in tonnes,1. Hazardous waste generation
2020,"41,677",Dry weight in tonnes,1. Hazardous waste generation
2021,"41,922",Dry weight in tonnes,1. Hazardous waste generation
2022,"44,777",Dry weight in tonnes,1. Hazardous waste generation
2010,"23,942",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2011,"16,154",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2012,"13,928",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2013,"10,402",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2014,"15,247",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2015,"4,218",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2016,"104,350",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2017,"11,215",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2018,"17,364",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2019,"7,073",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2020,"16,455",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2021,"7,980",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2022,"14,142",Dry weight in tonnes,2. Total hazardous waste treated locally or abroad
2010,95.8,Percentage,3. Proportion of hazardous waste treated locally or abroad
2011,67.5,Percentage,3. Proportion of hazardous waste treated locally or abroad
2012,36.3,Percentage,3. Proportion of hazardous waste treated locally or abroad
2013,42.4,Percentage,3. Proportion of hazardous waste treated locally or abroad
2014,41.4,Percentage,3. Proportion of hazardous waste treated locally or abroad
2015,8.4,Percentage,3. Proportion of hazardous waste treated locally or abroad
2016,77.5,Percentage,3. Proportion of hazardous waste treated locally or abroad
2017,22.7,Percentage,3. Proportion of hazardous waste treated locally or abroad
2018,52.6,Percentage,3. Proportion of hazardous waste treated locally or abroad
2019,16.8,Percentage,3. Proportion of hazardous waste treated locally or abroad
2020,39.5,Percentage,3. Proportion of hazardous waste treated locally or abroad
2021,19,Percentage,3. Proportion of hazardous waste treated locally or abroad
2022,31.6,Percentage,3. Proportion of hazardous waste treated locally or abroad
2010,60,Kilograms,"4. Hazardous waste generated, per capita"
2012,91,Kilograms,"4. Hazardous waste generated, per capita"
2014,85,Kilograms,"4. Hazardous waste generated, per capita"
2016,296,Kilograms,"4. Hazardous waste generated, per capita"
2018,68,Kilograms,"4. Hazardous waste generated, per capita"
2020,81,Kilograms,"4. Hazardous waste generated, per capita"
2022,84,Kilograms,"4. Hazardous waste generated, per capita"
2016,16,Percentage,5. WEEE Collection Rate based on POM
2017,22,Percentage,5. WEEE Collection Rate based on POM
2018,27,Percentage,5. WEEE Collection Rate based on POM
2019,40,Percentage,5. WEEE Collection Rate based on POM
2020,32,Percentage,5. WEEE Collection Rate based on POM
2021,26,Percentage,5. WEEE Collection Rate based on POM
2022,27,Percentage,5. WEEE Collection Rate based on POM
