Year,Series,Units,Value
2010,MVA (current US$) as a proportion of GDP,Percentage (%),11.06
2011,MVA (current US$) as a proportion of GDP,Percentage (%),11.03
2012,MVA (current US$) as a proportion of GDP,Percentage (%),10.82
2013,MVA (current US$) as a proportion of GDP,Percentage (%),9.43
2014,MVA (current US$) as a proportion of GDP,Percentage (%),8.36
2015,MVA (current US$) as a proportion of GDP,Percentage (%),7.16
2016,MVA (current US$) as a proportion of GDP,Percentage (%),7.0
2017,MVA (current US$) as a proportion of GDP,Percentage (%),6.63
2018,MVA (current US$) as a proportion of GDP,Percentage (%),6.54
2019,MVA (current US$) as a proportion of GDP,Percentage (%),6.43
2020,MVA (current US$) as a proportion of GDP,Percentage (%),6.7
2021,MVA (current US$) as a proportion of GDP,Percentage (%),6.33
2022,MVA (current US$) as a proportion of GDP,Percentage (%),6.31
2023,MVA (current US$) as a proportion of GDP,Percentage (%),6.19
2010,MVA per capita (constant 2015 US$),constant 2015 US$,1985.91
2011,MVA per capita (constant 2015 US$),constant 2015 US$,1956.28
2012,MVA per capita (constant 2015 US$),constant 2015 US$,2061.36
2013,MVA per capita (constant 2015 US$),constant 2015 US$,1996.57
2014,MVA per capita (constant 2015 US$),constant 2015 US$,1926.97
2015,MVA per capita (constant 2015 US$),constant 2015 US$,1825.16
2016,MVA per capita (constant 2015 US$),constant 2015 US$,1767.59
2017,MVA per capita (constant 2015 US$),constant 2015 US$,1824.91
2018,MVA per capita (constant 2015 US$),constant 2015 US$,1867.51
2019,MVA per capita (constant 2015 US$),constant 2015 US$,1775.17
2020,MVA per capita (constant 2015 US$),constant 2015 US$,1764.02
2021,MVA per capita (constant 2015 US$),constant 2015 US$,1852.87
2022,MVA per capita (constant 2015 US$),constant 2015 US$,1898.72
2023,MVA per capita (constant 2015 US$),constant 2015 US$,1990.0
2024,MVA per capita (constant 2015 US$),constant 2015 US$,2014.6
