Year,Value,Series
2011,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2012,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2013,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2014,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2015,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2016,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2017,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2018,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2019,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2020,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2021,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
2022,1.0,"Adjusted gender parity index for participation rate in organized learning (one year before the official Primary entry age), (ratio)"
