Year,Value,Series
2010,99.6,Sanitation Facilities
2011,99.6,Sanitation Facilities
2012,99.7,Sanitation Facilities
2013,99.7,Sanitation Facilities
2014,99.7,Sanitation Facilities
2015,99.8,Sanitation Facilities
2016,99.8,Sanitation Facilities
2017,99.9,Sanitation Facilities
2018,99.8,Sanitation Facilities
2019,99.8,Sanitation Facilities
2020,99.9,Sanitation Facilities
2021,100.0,Sanitation Facilities
2022,100.0,Sanitation Facilities
2023,100.0,Sanitation Facilities
2010,99.6,"Proportion having at least a bath, a shower or a toiler in their household"
2011,99.6,"Proportion having at least a bath, a shower or a toiler in their household"
2012,99.7,"Proportion having at least a bath, a shower or a toiler in their household"
2013,99.7,"Proportion having at least a bath, a shower or a toiler in their household"
2014,99.7,"Proportion having at least a bath, a shower or a toiler in their household"
2015,99.8,"Proportion having at least a bath, a shower or a toiler in their household"
2016,99.8,"Proportion having at least a bath, a shower or a toiler in their household"
2017,99.9,"Proportion having at least a bath, a shower or a toiler in their household"
2018,99.8,"Proportion having at least a bath, a shower or a toiler in their household"
2019,99.8,"Proportion having at least a bath, a shower or a toiler in their household"
2020,99.9,"Proportion having at least a bath, a shower or a toiler in their household"
2021,100.0,"Proportion having at least a bath, a shower or a toiler in their household"
2022,100.0,"Proportion having at least a bath, a shower or a toiler in their household"
2023,100.0,"Proportion having at least a bath, a shower or a toiler in their household"
