Year,Value,Series
2010,52.2,"Number of automated teller machines (ATMs) per 100,000 adults"
2011,55.3,"Number of automated teller machines (ATMs) per 100,000 adults"
2012,60.2,"Number of automated teller machines (ATMs) per 100,000 adults"
2013,58.7,"Number of automated teller machines (ATMs) per 100,000 adults"
2014,55.3,"Number of automated teller machines (ATMs) per 100,000 adults"
2015,55.3,"Number of automated teller machines (ATMs) per 100,000 adults"
2016,55.0,"Number of automated teller machines (ATMs) per 100,000 adults"
2017,54.8,"Number of automated teller machines (ATMs) per 100,000 adults"
2018,52.5,"Number of automated teller machines (ATMs) per 100,000 adults"
2019,48.9,"Number of automated teller machines (ATMs) per 100,000 adults"
2020,46.0,"Number of automated teller machines (ATMs) per 100,000 adults"
2021,45.4,"Number of automated teller machines (ATMs) per 100,000 adults"
2010,39.4,"Number of commercial bank branches per 100,000 adults"
2011,41.4,"Number of commercial bank branches per 100,000 adults"
2012,37.9,"Number of commercial bank branches per 100,000 adults"
2013,37.9,"Number of commercial bank branches per 100,000 adults"
2014,37.1,"Number of commercial bank branches per 100,000 adults"
2015,37.2,"Number of commercial bank branches per 100,000 adults"
2016,34.3,"Number of commercial bank branches per 100,000 adults"
2017,32.1,"Number of commercial bank branches per 100,000 adults"
2018,29.6,"Number of commercial bank branches per 100,000 adults"
2019,27.6,"Number of commercial bank branches per 100,000 adults"
2020,24.2,"Number of commercial bank branches per 100,000 adults"
2021,23.5,"Number of commercial bank branches per 100,000 adults"
