Year,Value,Series
2010,10.03,MVA (constant 2015 US$) as a proportion of GDP
2011,9.82,MVA (constant 2015 US$) as a proportion of GDP
2012,9.92,MVA (constant 2015 US$) as a proportion of GDP
2013,8.93,MVA (constant 2015 US$) as a proportion of GDP
2014,8.25,MVA (constant 2015 US$) as a proportion of GDP
2015,7.45,MVA (constant 2015 US$) as a proportion of GDP
2016,7.0,MVA (constant 2015 US$) as a proportion of GDP
2017,6.65,MVA (constant 2015 US$) as a proportion of GDP
2018,6.59,MVA (constant 2015 US$) as a proportion of GDP
2019,6.43,MVA (constant 2015 US$) as a proportion of GDP
2020,7.11,MVA (constant 2015 US$) as a proportion of GDP
2021,6.53,MVA (constant 2015 US$) as a proportion of GDP
2022,6.65,MVA (constant 2015 US$) as a proportion of GDP
2010,11.24,MVA (current US$) as a proportion of GDP
2011,11.23,MVA (current US$) as a proportion of GDP
2012,10.94,MVA (current US$) as a proportion of GDP
2013,9.44,MVA (current US$) as a proportion of GDP
2014,8.52,MVA (current US$) as a proportion of GDP
2015,7.45,MVA (current US$) as a proportion of GDP
2016,7.19,MVA (current US$) as a proportion of GDP
2017,6.89,MVA (current US$) as a proportion of GDP
2018,6.8,MVA (current US$) as a proportion of GDP
2019,6.6,MVA (current US$) as a proportion of GDP
2020,7.14,MVA (current US$) as a proportion of GDP
2021,6.69,MVA (current US$) as a proportion of GDP
2010,2039.6,MVA per capita (constant 2015 US$)
2011,1983.42,MVA per capita (constant 2015 US$)
2012,2055.31,MVA per capita (constant 2015 US$)
2013,1917.12,MVA per capita (constant 2015 US$)
2014,1869.64,MVA per capita (constant 2015 US$)
2015,1808.69,MVA per capita (constant 2015 US$)
2016,1715.16,MVA per capita (constant 2015 US$)
2017,1761.57,MVA per capita (constant 2015 US$)
2018,1807.14,MVA per capita (constant 2015 US$)
2019,1839.21,MVA per capita (constant 2015 US$)
2020,1798.88,MVA per capita (constant 2015 US$)
2021,1816.41,MVA per capita (constant 2015 US$)
2022,1856.56,MVA per capita (constant 2015 US$)
