Year,Value,Units,Series
2010,5710.463,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2011,5656.532,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2012,4928.618,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2013,5361.915,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2014,5098.261,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2015,6218.748,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2016,5455.781,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2017,5044.929,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2018,4845.347,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2019,5538.704,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2020,5719.155,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2021,4853.698,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2022,6350.024,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2023,6072.499,Thousand Tonnes,Raw Material Consumption (Thousand Tonnes)
2010,13.776,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2011,13.589,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2012,11.734,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2013,12.588,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2014,11.732,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2015,13.973,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2016,11.981,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2017,10.78,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2018,9.998,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2019,10.988,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2020,11.098,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2021,9.36,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2022,11.947,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
2023,10.986,Tonnes per capita,Raw Material Consumption (Tonnes per capita)
