Year,Value,Units,Series
2010,8.8,Percentage,1. Proportion of municipal waste recycled
2011,15.4,Percentage,1. Proportion of municipal waste recycled
2012,14.6,Percentage,1. Proportion of municipal waste recycled
2013,12.5,Percentage,1. Proportion of municipal waste recycled
2014,11.7,Percentage,1. Proportion of municipal waste recycled
2015,10.9,Percentage,1. Proportion of municipal waste recycled
2016,12.6,Percentage,1. Proportion of municipal waste recycled
2017,11.5,Percentage,1. Proportion of municipal waste recycled
2018,10.5,Percentage,1. Proportion of municipal waste recycled
2019,9.1,Percentage,1. Proportion of municipal waste recycled
2020,10.9,Percentage,1. Proportion of municipal waste recycled
2021,13.5,Percentage,1. Proportion of municipal waste recycled
2010,"23,000",Tonnes,2. Municipal waste recycled
2011,"40,000",Tonnes,2. Municipal waste recycled
2012,"38,000",Tonnes,2. Municipal waste recycled
2013,"32,000",Tonnes,2. Municipal waste recycled
2014,"32,000",Tonnes,2. Municipal waste recycled
2015,"31,000",Tonnes,2. Municipal waste recycled
2016,"37,000",Tonnes,2. Municipal waste recycled
2017,"36,000",Tonnes,2. Municipal waste recycled
2018,"34,000",Tonnes,2. Municipal waste recycled
2019,"32,000",Tonnes,2. Municipal waste recycled
2020,"36,000",Tonnes,2. Municipal waste recycled
2021,"43,000",Tonnes,2. Municipal waste recycled
2010,2.09,Kilograms,"3. Electronic waste recycled, per capita"
2011,4.61,Kilograms,"3. Electronic waste recycled, per capita"
2012,2.57,Kilograms,"3. Electronic waste recycled, per capita"
2013,3.9,Kilograms,"3. Electronic waste recycled, per capita"
2014,4.12,Kilograms,"3. Electronic waste recycled, per capita"
2015,2.9,Kilograms,"3. Electronic waste recycled, per capita"
2016,5.55,Kilograms,"3. Electronic waste recycled, per capita"
2017,4.55,Kilograms,"3. Electronic waste recycled, per capita"
2018,4.82,Kilograms,"3. Electronic waste recycled, per capita"
2010,56.4,Percentage ,4. Proportion of electronic waste recycled
2011,122.8,Percentage ,4. Proportion of electronic waste recycled
2012,71.7,Percentage ,4. Proportion of electronic waste recycled
2013,97.5,Percentage ,4. Proportion of electronic waste recycled
2014,107.1,Percentage ,4. Proportion of electronic waste recycled
2015,65.1,Percentage ,4. Proportion of electronic waste recycled
2016,103.4,Percentage ,4. Proportion of electronic waste recycled
2017,72.1,Percentage ,4. Proportion of electronic waste recycled
2010,865,Tonnes,5. Electronic waste recycled
2011,"1,921",Tonnes,5. Electronic waste recycled
2012,"1,080",Tonnes,5. Electronic waste recycled
2013,"1,661",Tonnes,5. Electronic waste recycled
2014,"1,791",Tonnes,5. Electronic waste recycled
2015,"1,292",Tonnes,5. Electronic waste recycled
2016,"2,527",Tonnes,5. Electronic waste recycled
2017,"2,128",Tonnes,5. Electronic waste recycled
2018,"2,336",Tonnes,5. Electronic waste recycled
