Year,Value,Units,Series
2010,3.7,Kilograms,"1. Electronic waste collected, per capita"
2011,3.76,Kilograms,"1. Electronic waste collected, per capita"
2012,3.59,Kilograms,"1. Electronic waste collected, per capita"
2013,4,Kilograms,"1. Electronic waste collected, per capita"
2014,3.85,Kilograms,"1. Electronic waste collected, per capita"
2015,4.46,Kilograms,"1. Electronic waste collected, per capita"
2016,5.37,Kilograms,"1. Electronic waste collected, per capita"
2017,6.31,Kilograms,"1. Electronic waste collected, per capita"
2018,6.55,Kilograms,"1. Electronic waste collected, per capita"
2019,8.43,Kilograms,"1. Electronic waste collected, per capita"
2020,6.89,Kilograms,"1. Electronic waste collected, per capita"
2021,5.42,Kilograms,"1. Electronic waste collected, per capita"
2010,"1,535",Tonnes,2. Electronic waste collected
2011,"1,564",Tonnes,2. Electronic waste collected
2012,"1,506",Tonnes,2. Electronic waste collected
2013,"1,704",Tonnes,2. Electronic waste collected
2014,"1,673",Tonnes,2. Electronic waste collected
2015,"1,984",Tonnes,2. Electronic waste collected
2016,"2,445",Tonnes,2. Electronic waste collected
2017,"2,953",Tonnes,2. Electronic waste collected
2018,"3,175",Tonnes,2. Electronic waste collected
2019,"4,248",Tonnes,2. Electronic waste collected
2020,"3,552",Tonnes,2. Electronic waste collected
2021,"2,809",Tonnes,2. Electronic waste collected
2010,"17,831",Tonnes,3. Hazardous waste exported
2011,"16,828",Tonnes,3. Hazardous waste exported
2012,"14,307",Tonnes,3. Hazardous waste exported
2013,"10,653",Tonnes,3. Hazardous waste exported
2014,"19,422",Tonnes,3. Hazardous waste exported
2015,"17,146",Tonnes,3. Hazardous waste exported
2016,"110,008",Tonnes,3. Hazardous waste exported
2017,"15,862",Tonnes,3. Hazardous waste exported
2018,"19,537",Tonnes,3. Hazardous waste exported
2019,"9,820",Tonnes,3. Hazardous waste exported
2020,"20,743",Tonnes,3. Hazardous waste exported
2021,"8,236",Tonnes,3. Hazardous waste exported
2022,"15,050",Tonnes,3. Hazardous waste exported
2010,"24,856",Tonnes,4. Hazardous waste generated 
2012,"37,987",Tonnes,4. Hazardous waste generated 
2014,"36,654",Tonnes,4. Hazardous waste generated 
2016,"134,001",Tonnes,4. Hazardous waste generated 
2018,"30,316",Tonnes,4. Hazardous waste generated 
2020,"41,546",Tonnes,4. Hazardous waste generated 
2010,59.97,Kilograms,"5. Hazardous waste generated, per capita"
2012,90.44,Kilograms,"5. Hazardous waste generated, per capita"
2014,84.35,Kilograms,"5. Hazardous waste generated, per capita"
2016,294.28,Kilograms,"5. Hazardous waste generated, per capita"
2018,62.55,Kilograms,"5. Hazardous waste generated, per capita"
2020,80.62,Kilograms,"5. Hazardous waste generated, per capita"
2010,437,Tonnes,7. Hazardous waste treated or disposed
2012,502,Tonnes,7. Hazardous waste treated or disposed
2014,438,Tonnes,7. Hazardous waste treated or disposed
2016,477,Tonnes,7. Hazardous waste treated or disposed
2018,473,Tonnes,7. Hazardous waste treated or disposed
2020,642,Tonnes,7. Hazardous waste treated or disposed
2010,1.76,Percentage,10. Proportion of hazardous waste treated or disposed
2012,1.32,Percentage,10. Proportion of hazardous waste treated or disposed
2014,1.2,Percentage,10. Proportion of hazardous waste treated or disposed
2016,0.36,Percentage,10. Proportion of hazardous waste treated or disposed
2018,1.56,Percentage,10. Proportion of hazardous waste treated or disposed
2020,1.55,Percentage,10. Proportion of hazardous waste treated or disposed
2010,"258,000",Tonnes,11. Municipal waste generated
2011,"259,000",Tonnes,11. Municipal waste generated
2012,"257,000",Tonnes,11. Municipal waste generated
2013,"257,000",Tonnes,11. Municipal waste generated
2014,"273,000",Tonnes,11. Municipal waste generated
2015,"285,000",Tonnes,11. Municipal waste generated
2016,"292,000",Tonnes,11. Municipal waste generated
2017,"312,000",Tonnes,11. Municipal waste generated
2018,"326,000",Tonnes,11. Municipal waste generated
2019,"351,000",Tonnes,11. Municipal waste generated
2020,"331,000",Tonnes,11. Municipal waste generated
2021,"317,000",Tonnes,11. Municipal waste generated
2022,"328,000",Tonnes,11. Municipal waste generated
2010,0.003,kilograms per constant 2015 United States dollars,"13. Hazardous waste generated, per unit of GDP"
2012,0.004,kilograms per constant 2015 United States dollars,"13. Hazardous waste generated, per unit of GDP"
2014,0.004,kilograms per constant 2015 United States dollars,"13. Hazardous waste generated, per unit of GDP"
2016,0.012,kilograms per constant 2015 United States dollars,"13. Hazardous waste generated, per unit of GDP"
2018,0.002,kilograms per constant 2015 United States dollars,"13. Hazardous waste generated, per unit of GDP"
2020,0.003,kilograms per constant 2015 United States dollars,"13. Hazardous waste generated, per unit of GDP"
2016,16,Percentage,14. WEEE Collection Rate based on POM
2017,22,Percentage,14. WEEE Collection Rate based on POM
2018,27,Percentage,14. WEEE Collection Rate based on POM
2019,40,Percentage,14. WEEE Collection Rate based on POM
2020,32,Percentage,14. WEEE Collection Rate based on POM
2021,26,Percentage,14. WEEE Collection Rate based on POM
2022,27,Percentage,14. WEEE Collection Rate based on POM
