Year,Value,Series
2015,1.1,1. Proportion of urban population living in inadequate housing (%)
2016,1.4,1. Proportion of urban population living in inadequate housing (%)
2017,1.4,1. Proportion of urban population living in inadequate housing (%)
2018,1.7,1. Proportion of urban population living in inadequate housing (%)
2019,2.6,1. Proportion of urban population living in inadequate housing (%)
2020,2.8,1. Proportion of urban population living in inadequate housing (%)
2021,2.7,1. Proportion of urban population living in inadequate housing (%)
2022,6.8,1. Proportion of urban population living in inadequate housing (%)
2023,6,1. Proportion of urban population living in inadequate housing (%)
2010,0.0375,2. Proportion of urban population living in slums (%)
2012,0.0375,2. Proportion of urban population living in slums (%)
2014,0.0375,2. Proportion of urban population living in slums (%)
2016,0.0375,2. Proportion of urban population living in slums (%)
2018,0.0375,2. Proportion of urban population living in slums (%)
2020,0.0375,2. Proportion of urban population living in slums (%)
2022,0.0375,2. Proportion of urban population living in slums (%)
2010,4,3. Share of persons living in overcrowded households (%)
2011,4.4,3. Share of persons living in overcrowded households (%)
2012,4,3. Share of persons living in overcrowded households (%)
2013,4.5,3. Share of persons living in overcrowded households (%)
2014,4,3. Share of persons living in overcrowded households (%)
2015,3.8,3. Share of persons living in overcrowded households (%)
2016,3,3. Share of persons living in overcrowded households (%)
2017,3,3. Share of persons living in overcrowded households (%)
2018,3.4,3. Share of persons living in overcrowded households (%)
2019,3.7,3. Share of persons living in overcrowded households (%)
2020,4.2,3. Share of persons living in overcrowded households (%)
2021,2.9,3. Share of persons living in overcrowded households (%)
2022,2.8,3. Share of persons living in overcrowded households (%)
2023,2.4,3. Share of persons living in overcrowded households (%)
2010,27.5 ,4. Population living in an area with noise pollution (%)
2011,30.1 ,4. Population living in an area with noise pollution (%)
2012,29.7 ,4. Population living in an area with noise pollution (%)
2013,31.0 ,4. Population living in an area with noise pollution (%)
2014,30.6 ,4. Population living in an area with noise pollution (%)
2015,24.6 ,4. Population living in an area with noise pollution (%)
2016,26.2 ,4. Population living in an area with noise pollution (%)
2017,24.9 ,4. Population living in an area with noise pollution (%)
2018,28.2,4. Population living in an area with noise pollution (%)
2019,28.3,4. Population living in an area with noise pollution (%)
2020,30.8,4. Population living in an area with noise pollution (%)
2021,31.5,4. Population living in an area with noise pollution (%)
2022,27.6,4. Population living in an area with noise pollution (%)
2023,31.3,4. Population living in an area with noise pollution (%)
