Year,Value,Units,Series
2010,367732.0,Number,2. Premature deaths due to exposure to fine particulate matter
2011,392315.0,Number,2. Premature deaths due to exposure to fine particulate matter
2012,344027.0,Number,2. Premature deaths due to exposure to fine particulate matter
2013,328912.0,Number,2. Premature deaths due to exposure to fine particulate matter
2014,290933.0,Number,2. Premature deaths due to exposure to fine particulate matter
2015,321094.0,Number,2. Premature deaths due to exposure to fine particulate matter
2016,281995.0,Number,2. Premature deaths due to exposure to fine particulate matter
2017,303487.0,Number,2. Premature deaths due to exposure to fine particulate matter
2018,290716.0,Number,2. Premature deaths due to exposure to fine particulate matter
2019,231286.0,Number,2. Premature deaths due to exposure to fine particulate matter
2020,237715.0,Number,2. Premature deaths due to exposure to fine particulate matter
2021,253305.0,Number,2. Premature deaths due to exposure to fine particulate matter
2010,83.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2011,89.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2012,78.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2013,74.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2014,66.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2015,72.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2016,63.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2017,68.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2018,65.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2019,52.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2020,53.0,Rate,2. Premature deaths due to exposure to fine particulate matter
2021,57.0,Rate,2. Premature deaths due to exposure to fine particulate matter
