Year,Series,Sex,Age,Value
2010,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,100.0
2010,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,1312.0
2010,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,405.0
2010,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,62.0
2010,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,677.0
2010,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,172.0
2010,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,886.0
2010,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,51.0
2010,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,110.0
2010,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,635.0
2010,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,49.0
2010,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,481.0
2015,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,172.0
2015,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,415.0
2015,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,77.0
2015,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,87.0
2015,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,675.0
2015,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,200.0
2015,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,1268.0
2015,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,934.0
2015,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,84.0
2015,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,520.0
2015,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,593.0
2015,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,123.0
2019,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,230.0
2019,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,1007.0
2019,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,1353.0
2019,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,195.0
2019,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,139.0
2019,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,700.0
2019,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,556.0
2019,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,91.0
2019,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,106.0
2019,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,451.0
2019,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,653.0
2019,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,89.0
2010,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),All Sexes,30-70,11.8
2010,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Female,30-70,8.8
2010,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Male,30-70,14.8
2015,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Female,30-70,8.1
2015,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Male,30-70,13.4
2015,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),All Sexes,30-70,10.7
2019,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Female,30-70,8.2
2019,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Male,30-70,12.9
2019,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),All Sexes,30-70,10.5
