Year,Sex,Value
2010,Total,9.5
2011,Total,10.2
2012,Total,10.8
2013,Total,9.9
2014,Total,10.3
2015,Total,10.5
2016,Total,8.8
2017,Total,8.6
2018,Total,7.3
2019,Total,8.6
2009,Males,9.4
2020,Total,9.3
2021,Total,9.8
2022,Total,7.1
2010,Males,8.2
2011,Males,9.7
2012,Males,10.2
2013,Males,9.7
2014,Males,8.8
2015,Males,9.3
2016,Males,6.9
2017,Males,8.4
2018,Males,6.8
2019,Males,8.2
2009,Females,10.4
2020,Males,10.5
2021,Males,10.9
2022,Males,8.1
2010,Females,10.9
2011,Females,10.7
2012,Females,11.5
2013,Females,10.1
2014,Females,11.9
2015,Females,11.9
2016,Females,10.8
2017,Females,8.8
2018,Females,7.8
2019,Females,9.0
2020,Females,8.0
2021,Females,8.6
2022,Females,5.9
