Year,Sex,Age,Value
2010,Total,Total,21.2 
2011,Total,Total,22.1 
2012,Total,Total,23.1 
2013,Total,Total,24.6 
2014,Total,Total,23.9 
2015,Total,Total,23.0 
2016,Total,Total,20.2
2017,Total,Total,19.4
2018,Total,Total,19.2
2019,Total,Total,20.7
2020,Total,Total,19.9
2021,Total,Total,20.3
2022,Total,Total,20.1
2010,Males,Total,20.1 
2011,Males,Total,20.9 
2012,Males,Total,21.9 
2013,Males,Total,23.8 
2014,Males,Total,23.1 
2015,Males,Total,22.2 
2016,Males,Total,16.9
2017,Males,Total,18.5
2018,Males,Total,17.3
2019,Males,Total,19.0
2020,Males,Total,18.3
2021,Males,Total,18.9
2022,Males,Total,18.9
2010,Females,Total,22.4 
2011,Females,Total,23.2 
2012,Females,Total,24.3 
2013,Females,Total,25.5 
2014,Females,Total,24.7 
2015,Females,Total,23.8 
2016,Females,Total,20.7
2017,Females,Total,20.3
2018,Females,Total,21.1
2019,Females,Total,22.6
2020,Females,Total,21.8
2021,Females,Total,21.9
2022,Females,Total,21.3
2010,Total,<18Y,26.7 
2011,Total,<18Y,27.8 
2012,Total,<18Y,31.0 
2013,Total,<18Y,33.0 
2014,Total,<18Y,31.8 
2015,Total,<18Y,28.4 
2016,Total,<18Y,23.7
2017,Total,<18Y,23.6
2018,Total,<18Y,23.3
2019,Total,<18Y,23.7
2020,Total,<18Y,22.6
2021,Total,<18Y,23.2
2022,Total,<18Y,23.1
2010,Total,18-64,19.6 
2011,Total,18-64,20.7 
2012,Total,18-64,21.1 
2013,Total,18-64,23.2 
2014,Total,18-64,21.8 
2015,Total,18-64,21.1 
2016,Total,18-64,17.4
2017,Total,18-64,16.3
2018,Total,18-64,15.7
2019,Total,18-64,17.2
2020,Total,18-64,17.0
2021,Total,18-64,17.0
2022,Total,18-64,15.5
2010,Total,65+,21.7 
2011,Total,65+,21.0 
2012,Total,65+,22.3 
2013,Total,65+,20.9 
2014,Total,65+,23.5 
2015,Total,65+,24.3 
2016,Total,65+,26.7
2017,Total,65+,26.5
2018,Total,65+,27.8
2019,Total,65+,30.7
2020,Total,65+,28.5
2021,Total,65+,29.9
2022,Total,65+,33.3

