Year,Series,Value
2012,Proportion of elected seats held by women in deliberative bodies of local government,17.5
2013,Proportion of elected seats held by women in deliberative bodies of local government,21.3
2014,Proportion of elected seats held by women in deliberative bodies of local government,21.7
2015,Proportion of elected seats held by women in deliberative bodies of local government,22.6
2016,Proportion of elected seats held by women in deliberative bodies of local government,22.4
2017,Proportion of elected seats held by women in deliberative bodies of local government,21.9
2018,Proportion of elected seats held by women in deliberative bodies of local government,22.0
2019,Proportion of elected seats held by women in deliberative bodies of local government,26.3
2020,Proportion of elected seats held by women in deliberative bodies of local government,26.3
2021,Proportion of elected seats held by women in deliberative bodies of local government,26.3
