Year,Sex,Value
2011,All Sexes,4.7
2011,Male,7.59
2011,Female,2.23
2012,All Sexes,3.08
2012,Male,5.57
2012,Female,0.93
2013,All Sexes,5.05
2013,Male,8.19
2013,Female,2.07
2014,All Sexes,2.5
2014,Male,2.99
2014,Female,1.81
2015,All Sexes,3.03
2015,Male,4.48
2015,Female,1.72
2016,All Sexes,5.88
2016,Male,9.64
2016,Female,2.68
2017,All Sexes,4.44
2017,Male,4.73
2017,Female,3.95
2018,All Sexes,3.71
2018,Male,6.43
2018,Female,1.72
2019,All Sexes,3.86
2019,Male,5.7
2019,Female,2.14
2020,All Sexes,2.62
2020,Male,3.97
2020,Female,1.16
2021,All Sexes,1.29
2021,Male,2.09
2021,Female,0.36
