Year,Series,Sex,Units,Value
2010,Number of victims of intentional homicide,All Sexes,Number,4
2011,Number of victims of intentional homicide,All Sexes,Number,3
2012,Number of victims of intentional homicide,All Sexes,Number,12
2013,Number of victims of intentional homicide,All Sexes,Number,7
2014,Number of victims of intentional homicide,All Sexes,Number,6
2015,Number of victims of intentional homicide,All Sexes,Number,4
2016,Number of victims of intentional homicide,All Sexes,Number,5
2017,Number of victims of intentional homicide,All Sexes,Number,9
2018,Number of victims of intentional homicide,All Sexes,Number,8
2019,Number of victims of intentional homicide,All Sexes,Number,5
2020,Number of victims of intentional homicide,All Sexes,Number,7
2021,Number of victims of intentional homicide,All Sexes,Number,2
2022,Number of victims of intentional homicide,All Sexes,Number,8
2023,Number of victims of intentional homicide,All Sexes,Number,3
2010,Number of victims of intentional homicide,Female,Number,1
2011,Number of victims of intentional homicide,Female,Number,3
2012,Number of victims of intentional homicide,Female,Number,3
2013,Number of victims of intentional homicide,Female,Number,0
2014,Number of victims of intentional homicide,Female,Number,1
2015,Number of victims of intentional homicide,Female,Number,2
2016,Number of victims of intentional homicide,Female,Number,2
2017,Number of victims of intentional homicide,Female,Number,1
2018,Number of victims of intentional homicide,Female,Number,4
2019,Number of victims of intentional homicide,Female,Number,3
2020,Number of victims of intentional homicide,Female,Number,1
2021,Number of victims of intentional homicide,Female,Number,0
2022,Number of victims of intentional homicide,Female,Number,3
2023,Number of victims of intentional homicide,Female,Number,2
2010,Number of victims of intentional homicide,Male,Number,3
2011,Number of victims of intentional homicide,Male,Number,0
2012,Number of victims of intentional homicide,Male,Number,9
2013,Number of victims of intentional homicide,Male,Number,7
2014,Number of victims of intentional homicide,Male,Number,5
2015,Number of victims of intentional homicide,Male,Number,2
2016,Number of victims of intentional homicide,Male,Number,3
2017,Number of victims of intentional homicide,Male,Number,8
2018,Number of victims of intentional homicide,Male,Number,4
2019,Number of victims of intentional homicide,Male,Number,2
2020,Number of victims of intentional homicide,Male,Number,6
2021,Number of victims of intentional homicide,Male,Number,2
2022,Number of victims of intentional homicide,Male,Number,5
2023,Number of victims of intentional homicide,Male,Number,1
2010,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",0.96
2011,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",0.72
2012,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",2.86
2013,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",1.65
2014,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",1.38
2015,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",0.9
2016,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",1.1
2017,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",1.93
2018,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",1.66
