Year,Series,Value
2016,1. Data sources performance index (Statistical Performance Indicators Pillar 4),74.8
2017,1. Data sources performance index (Statistical Performance Indicators Pillar 4),73.8
2018,1. Data sources performance index (Statistical Performance Indicators Pillar 4),73.2
2019,1. Data sources performance index (Statistical Performance Indicators Pillar 4),73.2
2020,1. Data sources performance index (Statistical Performance Indicators Pillar 4),76.1
2021,1. Data sources performance index (Statistical Performance Indicators Pillar 4),84.5
2022,1. Data sources performance index (Statistical Performance Indicators Pillar 4),80.7
2023,1. Data sources performance index (Statistical Performance Indicators Pillar 4),80.7
2016,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),70
2017,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),70
2018,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),70
2019,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),75
2020,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),80
2021,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),75
2022,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),75
2023,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),85
2020,3. Open Data Inventory (ODIN) Coverage Index,44
2022,3. Open Data Inventory (ODIN) Coverage Index,46
2024,3. Open Data Inventory (ODIN) Coverage Index,53
