Year,Series,Value
2010,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.19
2011,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.19
2012,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.19
2013,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.16
2014,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.15
2015,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.09
2016,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.07
2017,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.08
2018,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.07
2019,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.07
2020,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),0.08
2010,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.04
2011,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.02
2012,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.03
2013,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.06
2014,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.07
2015,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.06
2016,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.06
2017,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.06
2018,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.05
2019,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.03
2020,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),0.03
2010,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.03
2011,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.02
2012,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.03
2013,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.05
2014,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.06
2015,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.05
2016,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.05
2017,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.05
2018,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.04
2019,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.03
2020,Carbon dioxide emissions from fuel combustion (millions of tonnes) for Manufacturing excluding specific sectors,0.03
2010,Total carbon dioxide emissions from fuel combustion (millions of tonnes),2.59
2011,Total carbon dioxide emissions from fuel combustion (millions of tonnes),2.57
2012,Total carbon dioxide emissions from fuel combustion (millions of tonnes),2.72
2013,Total carbon dioxide emissions from fuel combustion (millions of tonnes),2.37
2014,Total carbon dioxide emissions from fuel combustion (millions of tonnes),2.36
2015,Total carbon dioxide emissions from fuel combustion (millions of tonnes),1.66
2016,Total carbon dioxide emissions from fuel combustion (millions of tonnes),1.35
2017,Total carbon dioxide emissions from fuel combustion (millions of tonnes),1.52
2018,Total carbon dioxide emissions from fuel combustion (millions of tonnes),1.55
2019,Total carbon dioxide emissions from fuel combustion (millions of tonnes),1.66
2020,Total carbon dioxide emissions from fuel combustion (millions of tonnes),1.61
