Year,Series,Value
2010,Non-performing loans to total gross loans (%),7
2011,Non-performing loans to total gross loans (%),7.1
2012,Non-performing loans to total gross loans (%),7.8
2013,Non-performing loans to total gross loans (%),8.9
2014,Non-performing loans to total gross loans (%),9
2015,Non-performing loans to total gross loans (%),7.1
2016,Non-performing loans to total gross loans (%),5.3
2017,Non-performing loans to total gross loans (%),4.1
2018,Non-performing loans to total gross loans (%),3.4
2019,Non-performing loans to total gross loans (%),3.2
2020,Non-performing loans to total gross loans (%),3.7
2021,Non-performing loans to total gross loans (%),3.4
2010,Return on assets (%),1.4
2011,Return on assets (%),1.3
2012,Return on assets (%),1.4
2013,Return on assets (%),1.5
2014,Return on assets (%),1.1
2015,Return on assets (%),1.1
2016,Return on assets (%),1.2
2017,Return on assets (%),1
2018,Return on assets (%),0.7
2019,Return on assets (%),0.8
2020,Return on assets (%),0.1
2021,Return on assets (%),0.6
2010,Regulatory capital to assets (%),5.8
2011,Regulatory capital to assets (%),5.9
2012,Regulatory capital to assets (%),6.1
2013,Regulatory capital to assets (%),6.6
2014,Regulatory capital to assets (%),5.5
2015,Regulatory capital to assets (%),5.9
2016,Regulatory capital to assets (%),6.4
2017,Regulatory capital to assets (%),7.3
2018,Regulatory capital to assets (%),7.8
2019,Regulatory capital to assets (%),8.1
2020,Regulatory capital to assets (%),7.9
2021,Regulatory capital to assets (%),7.6
2010,Non-performing loans net of provisions to capital (%),37.8
2011,Non-performing loans net of provisions to capital (%),36.8
2012,Non-performing loans net of provisions to capital (%),37.4
2013,Non-performing loans net of provisions to capital (%),39
2014,Non-performing loans net of provisions to capital (%),41.6
2015,Non-performing loans net of provisions to capital (%),39.7
2016,Non-performing loans net of provisions to capital (%),28
2017,Non-performing loans net of provisions to capital (%),20.7
2018,Non-performing loans net of provisions to capital (%),16.6
2019,Non-performing loans net of provisions to capital (%),15.2
2020,Non-performing loans net of provisions to capital (%),19.3
2021,Non-performing loans net of provisions to capital (%),20
2010,Regulatory Tier 1 capital to risk-weighted assets (%),11.4
2011,Regulatory Tier 1 capital to risk-weighted assets (%),11.8
2012,Regulatory Tier 1 capital to risk-weighted assets (%),12.1
2013,Regulatory Tier 1 capital to risk-weighted assets (%),12.9
2014,Regulatory Tier 1 capital to risk-weighted assets (%),10.9
2015,Regulatory Tier 1 capital to risk-weighted assets (%),12.1
2016,Regulatory Tier 1 capital to risk-weighted assets (%),13.6
2017,Regulatory Tier 1 capital to risk-weighted assets (%),15.2
2018,Regulatory Tier 1 capital to risk-weighted assets (%),16
2019,Regulatory Tier 1 capital to risk-weighted assets (%),17.6
2020,Regulatory Tier 1 capital to risk-weighted assets (%),18.6
2021,Regulatory Tier 1 capital to risk-weighted assets (%),19.4
2010,Liquid assets to short term liabilities (%),43.7
2011,Liquid assets to short term liabilities (%),45.4
2012,Liquid assets to short term liabilities (%),51.5
2013,Liquid assets to short term liabilities (%),51.6
2014,Liquid assets to short term liabilities (%),50.4
2015,Liquid assets to short term liabilities (%),37.3
2016,Liquid assets to short term liabilities (%),38.3
2017,Liquid assets to short term liabilities (%),40.9
2018,Liquid assets to short term liabilities (%),36
2019,Liquid assets to short term liabilities (%),39.1
2020,Liquid assets to short term liabilities (%),39.9
2021,Liquid assets to short term liabilities (%),38.7
2010,Net open position in foreign exchange to capital (%),0
2011,Net open position in foreign exchange to capital (%),-0.3
2012,Net open position in foreign exchange to capital (%),0.1
2013,Net open position in foreign exchange to capital (%),0.1
2014,Net open position in foreign exchange to capital (%),1.0
2015,Net open position in foreign exchange to capital (%),0.4
2016,Net open position in foreign exchange to capital (%),0.4
2017,Net open position in foreign exchange to capital (%),-0.1
2018,Net open position in foreign exchange to capital (%),0
2019,Net open position in foreign exchange to capital (%),0.1
2020,Net open position in foreign exchange to capital (%),0.5
2021,Net open position in foreign exchange to capital (%),0.3
