Year,Sex,Age,Value
2010,Total,Total,8.0
2011,Total,Total,8.3
2012,Total,Total,7.4
2013,Total,Total,8.7
2014,Total,Total,8.3
2015,Total,Total,8.6
2016,Total,Total,7.8
2017,Total,Total,8.6
2018,Total,Total,8.7
2019,Total,Total,8.7
2020,Total,Total,8.3
2021,Total,Total,8.9
2022,Total,Total,8.4
2010,Male,Total,7.9
2011,Male,Total,7.8
2012,Male,Total,7.2
2013,Male,Total,8.5
2014,Male,Total,8.5
2015,Male,Total,8.9
2016,Male,Total,8.1
2017,Male,Total,8.4
2018,Male,Total,8.3
2019,Male,Total,8.6
2020,Male,Total,7.7
2021,Male,Total,8.4
2022,Male,Total,7.9
2010,Female,Total,8.1
2011,Female,Total,8.8
2012,Female,Total,7.7
2013,Female,Total,8.9
2014,Female,Total,8.1
2015,Female,Total,8.4
2016,Female,Total,7.4
2017,Female,Total,8.8
2018,Female,Total,9.2
2019,Female,Total,8.9
2020,Female,Total,8.9
2021,Female,Total,9.3
2022,Female,Total,8.8
2010,Total,< 18Y,10.3
2011,Total,< 18Y,11.8
2012,Total,< 18Y,10.1
2013,Total,< 18Y,14.5
2014,Total,< 18Y,15.1
2015,Total,< 18Y,14.5
2016,Total,< 18Y,10.8
2017,Total,< 18Y,13.5
2018,Total,< 18Y,13.3
2019,Total,< 18Y,12.5
2020,Total,< 18Y,11.5
2021,Total,< 18Y,12.7
2022,Total,< 18Y,12.2
2010,Total,18-64,7.0
2011,Total,18-64,7.0
2012,Total,18-64,6.4
2013,Total,18-64,7.5
2014,Total,18-64,7.1
2015,Total,18-64,7.1
2016,Total,18-64,6.6
2017,Total,18-64,7.0
2018,Total,18-64,7.7
2019,Total,18-64,7.4
2020,Total,18-64,7.3
2021,Total,18-64,7.8
2022,Total,18-64,6.7
2010,Total,65+,9.5
2011,Total,65+,9.7
2012,Total,65+,9.0
2013,Total,65+,6.8
2014,Total,65+,5.8
2015,Total,65+,8.4
2016,Total,65+,8.9
2017,Total,65+,9.3
2018,Total,65+,8.3
2019,Total,65+,9.9
2020,Total,65+,9.1
2021,Total,65+,9.2
2022,Total,65+,10.8
