Year,Series,Sex,Units,Value
2010,Number of victims of intentional homicide,Total,Number,4.0
2011,Number of victims of intentional homicide,Total,Number,3.0
2012,Number of victims of intentional homicide,Total,Number,12.0
2013,Number of victims of intentional homicide,Total,Number,7.0
2014,Number of victims of intentional homicide,Total,Number,6.0
2015,Number of victims of intentional homicide,Total,Number,4.0
2016,Number of victims of intentional homicide,Total,Number,5.0
2017,Number of victims of intentional homicide,Total,Number,9.0
2018,Number of victims of intentional homicide,Total,Number,8.0
2019,Number of victims of intentional homicide,Total,Number,5.0
2020,Number of victims of intentional homicide,Total,Number,7.0
2021,Number of victims of intentional homicide,Total,Number,2.0
2022,Number of victims of intentional homicide,Total,Number,8.0
2023,Number of victims of intentional homicide,Total,Number,3.0
2010,Number of victims of intentional homicide,Female,Number,1.0
2011,Number of victims of intentional homicide,Female,Number,3.0
2012,Number of victims of intentional homicide,Female,Number,3.0
2013,Number of victims of intentional homicide,Female,Number,0.0
2014,Number of victims of intentional homicide,Female,Number,1.0
2015,Number of victims of intentional homicide,Female,Number,2.0
2016,Number of victims of intentional homicide,Female,Number,2.0
2017,Number of victims of intentional homicide,Female,Number,1.0
2018,Number of victims of intentional homicide,Female,Number,4.0
2019,Number of victims of intentional homicide,Female,Number,3.0
2020,Number of victims of intentional homicide,Female,Number,1.0
2021,Number of victims of intentional homicide,Female,Number,0.0
2022,Number of victims of intentional homicide,Female,Number,3.0
2023,Number of victims of intentional homicide,Female,Number,2.0
2010,Number of victims of intentional homicide,Male,Number,3.0
2011,Number of victims of intentional homicide,Male,Number,0.0
2012,Number of victims of intentional homicide,Male,Number,9.0
2013,Number of victims of intentional homicide,Male,Number,7.0
2014,Number of victims of intentional homicide,Male,Number,5.0
2015,Number of victims of intentional homicide,Male,Number,2.0
2016,Number of victims of intentional homicide,Male,Number,3.0
2017,Number of victims of intentional homicide,Male,Number,8.0
2018,Number of victims of intentional homicide,Male,Number,4.0
2019,Number of victims of intentional homicide,Male,Number,2.0
2020,Number of victims of intentional homicide,Male,Number,6.0
2021,Number of victims of intentional homicide,Male,Number,2.0
2022,Number of victims of intentional homicide,Male,Number,5.0
2023,Number of victims of intentional homicide,Male,Number,1.0
2010,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",0.96
2011,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",0.72
2012,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",2.86
2013,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",1.65
2014,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",1.38
2015,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",0.9
2016,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",1.1
2017,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",1.93
2018,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",1.66
2019,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",0.99
2020,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",1.36
2021,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",0.39
2022,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",1.51
2023,"Number of victims of intentional homicide per 100,000 population",Total,"Per 100,000 population ",0.54
